fullName,rollNumber,dateOfBirth,sessionYear
Autumn Ross,R076,2005-03-04,2024-2025
Aaron Henderson,R077,2004-10-12,2024-2025
Madelyn Coleman,R078,2005-04-19,2024-2025
Oliver Jenkins,R079,2004-09-04,2024-2025
Aubrey Perry,R080,2005-02-26,2024-2025
Evan Powell,R081,2004-11-15,2024-2025
Addison Long,R082,2005-05-08,2024-2025
Lincoln Patterson,R083,2004-08-21,2024-2025
Brooklyn Hughes,R084,2005-01-25,2024-2025
Cameron Flores,R085,2004-12-03,2024-2025
Piper Washington,R086,2005-06-17,2024-2025
Jeremiah Butler,R087,2004-07-08,2024-2025
Elena Simmons,R088,2005-03-22,2024-2025
Landon Foster,R089,2004-10-26,2024-2025
Ellie Gonzales,R090,2005-04-11,2024-2025
Dylan Bryant,R091,2004-09-16,2024-2025
Naomi Alexander,R092,2005-02-05,2024-2025
Brayden Russell,R093,2004-11-27,2024-2025
Hazel Griffin,R094,2005-05-15,2024-2025
Grayson Diaz,R095,2004-08-09,2024-2025
Reagan Hayes,R096,2005-01-19,2024-2025
Cole Myers,R097,2004-12-28,2024-2025
Natalie Ford,R098,2005-06-02,2024-2025
Dominic Hamilton,R099,2004-07-26,2024-2025
Lillian Graham,R100,2005-03-14,2024-2025
Kai Sullivan,R101,2004-10-07,2024-2025
Willow Tate,R102,2005-04-22,2024-2025
Brody Daniels,R103,2004-09-19,2024-2025
Valentina Nichols,R104,2005-02-10,2024-2025
Eli Horton,R105,2004-11-12,2024-2025
Sarah Farmer,R106,2005-05-30,2024-2025
Declan Jefferson,R107,2004-08-16,2024-2025
Everleigh Graves,R108,2005-01-13,2024-2025
Parker Davidson,R109,2004-12-19,2024-2025
Allison Sutton,R110,2005-06-25,2024-2025
Sawyer Fleming,R111,2004-07-05,2024-2025
Lyla Grant,R112,2005-03-26,2024-2025
Colton Knight,R113,2004-10-29,2024-2025
Gabriella Snyder,R114,2005-04-07,2024-2025
Logan Tucker,R115,2004-09-22,2024-2025
Natalia Porter,R116,2005-02-14,2024-2025
Zackary Patel,R117,2004-11-08,2024-2025
Arianna Vasquez,R118,2005-05-21,2024-2025
Miles Weaver,R119,2004-08-02,2024-2025
Isla Yates,R120,2005-01-10,2024-2025
Elias Maldonado,R121,2004-12-01,2024-2025
Alexandra Roth,R122,2005-06-20,2024-2025
Ezra Hines,R123,2004-07-29,2024-2025
Mila Castillo,R124,2005-03-02,2024-2025
Axel Aguilar,R125,2004-10-14,2024-2025
Brooke Osborne,R126,2005-04-28,2024-2025
Silas Galloway,R127,2004-09-10,2024-2025
Mackenzie Pratt,R128,2005-02-22,2024-2025
Jonathan Barker,R129,2004-11-17,2024-2025
Katherine Dunn,R130,2005-05-06,2024-2025
Jace Stephens,R131,2004-08-23,2024-2025
Ariana Humphrey,R132,2005-01-01,2024-2025
Adam Garza,R133,2004-12-13,2024-2025
Adeline Walton,R134,2005-06-23,2024-2025
Xander Hoffman,R135,2004-07-03,2024-2025
Jade Keller,R136,2005-03-19,2024-2025
Levi Barton,R137,2004-10-18,2024-2025
Lydia Griffith,R138,2005-04-14,2024-2025
Josiah Erickson,R139,2004-09-24,2024-2025
Adalyn Cannon,R140,2005-02-01,2024-2025
Brandon Thornton,R141,2004-11-22,2024-2025
Vivian Owens,R142,2005-05-10,2024-2025
Chase Wilkins,R143,2004-08-28,2024-2025
Payton Wilkinson,R144,2005-01-16,2024-2025
Connor Sims,R145,2004-12-05,2024-2025
Gianna Lamb,R146,2005-06-30,2024-2025
Emmett Salazar,R147,2004-07-19,2024-2025
Camila Zimmerman,R148,2005-03-10,2024-2025
Nolan Steele,R149,2004-10-01,2024-2025
Annabelle Burch,R150,2005-04-03,2024-2025
Micah Chambers,R151,2004-09-08,2024-2025
Delilah Carrillo,R152,2005-02-27,2024-2025
Greyson Atkins,R153,2004-11-01,2024-2025
Josephine Pittman,R154,2005-05-17,2024-2025
Easton Mcbride,R155,2004-08-18,2024-2025
Iris Wilcox,R156,2005-01-24,2024-2025
Robert Estes,R157,2004-12-10,2024-2025
Melanie Mercado,R158,2005-06-07,2024-2025
Bentley Harmon,R159,2004-07-31,2024-2025
Juliana Buchanan,R160,2005-03-23,2024-2025
Kayden Cummings,R161,2004-10-19,2024-2025
Daisy Hogan,R162,2005-04-16,2024-2025
Brady Hawkins,R163,2004-09-26,2024-2025
Jordyn Blackwell,R164,2005-02-09,2024-2025
Damian Lindsey,R165,2004-11-14,2024-2025
Emery Rojas,R166,2005-05-12,2024-2025
Amir Shah,R167,2004-08-06,2024-2025
Alaina Petersen,R168,2005-01-03,2024-2025
Timothy Benton,R169,2004-12-16,2024-2025
Khloe Newton,R170,2005-06-19,2024-2025
Bryson Vargas,R171,2004-07-10,2024-2025
Lucia Frye,R172,2005-03-25,2024-2025
Rhett Stafford,R173,2004-10-04,2024-2025
Diana Barber,R174,2005-04-10,2024-2025
Dawson Mcclain,R175,2004-09-15,2024-2025
Juliette Wolfe,R176,2005-02-18,2024-2025
Max Blevins,R177,2004-11-28,2024-2025
Harmony Mendoza,R178,2005-05-26,2024-2025
Malachi Pace,R179,2004-08-13,2024-2025
Brielle Becker,R180,2005-01-29,2024-2025
Jasper Pugh,R181,2004-12-24,2024-2025
Eliza Garrison,R182,2005-06-13,2024-2025
August Sampson,R183,2004-07-01,2024-2025
Tessa Stevenson,R184,2005-03-17,2024-2025
Finn Chavez,R185,2004-10-25,2024-2025
Arabella Velasquez,R186,2005-04-21,2024-2025
Dean Whitaker,R187,2004-09-07,2024-2025
Kinsley Ponce,R188,2005-02-13,2024-2025
Caden Rangel,R189,2004-11-20,2024-2025
Ruby Mcintosh,R190,2005-05-03,2024-2025
Jesse Oneal,R191,2004-08-31,2024-2025
Evangeline Crane,R192,2005-01-08,2024-2025
Colin Mccormick,R193,2004-12-17,2024-2025
Myla Copeland,R194,2005-06-26,2024-2025
Preston Serrano,R195,2004-07-15,2024-2025
Juniper Boyle,R196,2005-03-31,2024-2025
Ryder Phelps,R197,2004-10-10,2024-2025
Phoebe Dickerson,R198,2005-04-02,2024-2025
Beckett Leblanc,R199,2004-09-18,2024-2025
Leilani Cline,R200,2005-02-23,2024-2025
Beau Chandler,R201,2004-11-04,2024-2025
Adelynn Hartman,R202,2005-05-20,2024-2025
Rowan Odonnell,R203,2004-08-25,2024-2025
Daphne Wiggins,R204,2005-01-26,2024-2025
Seth Soto,R205,2004-12-04,2024-2025
Esther Jacobson,R206,2005-06-09,2024-2025
Jude Blackburn,R207,2004-07-07,2024-2025
Thea Hurst,R208,2005-03-09,2024-2025
Messiah Roberson,R209,2004-10-22,2024-2025
Emilia Kaiser,R210,2005-04-27,2024-2025
Hayden Lawson,R211,2004-09-29,2024-2025
Athena Donaldson,R212,2005-02-16,2024-2025
Simon Campos,R213,2004-11-25,2024-2025
Aliyah Mccall,R214,2005-05-14,2024-2025
Jonah Glenn,R215,2004-08-17,2024-2025
Gemma Meadows,R216,2005-01-21,2024-2025
Knox Conley,R217,2004-12-31,2024-2025
Sloane Melton,R218,2005-06-04,2024-2025
Tyson Bullock,R219,2004-07-12,2024-2025
Amara Bowen,R220,2005-03-24,2024-2025
Ryker Hoover,R221,2004-10-05,2024-2025
Miriam Strickland,R222,2005-04-06,2024-2025
Luis Benson,R223,2004-09-17,2024-2025
Rosalie Middleton,R224,2005-02-11,2024-2025
Chance Beard,R225,2004-11-07,2024-2025
Molly Mcdaniel,R226,2005-05-28,2024-2025
Rafael Lester,R227,2004-08-22,2024-2025
Lennon Winters,R228,2005-01-18,2024-2025
Jameson Reeves,R229,2004-12-21,2024-2025
Genevieve Winters,R230,2005-06-03,2024-2025
Corbin Mccarthy,R231,2004-07-27,2024-2025
Ariel Holloway,R232,2005-03-15,2024-2025
Tristan Whitehead,R233,2004-10-13,2024-2025
Lilah Finley,R234,2005-04-08,2024-2025
Matteo Patton,R235,2004-09-21,2024-2025
Olive Baxter,R236,2005-02-20,2024-2025
Maximus Browning,R237,2004-11-09,2024-2025
Carly Kirk,R238,2005-05-18,2024-2025
Blake Watkins,R239,2004-08-24,2024-2025
Lorelei Burgess,R240,2005-01-07,2024-2025
Waylon Stephenson,R241,2004-12-30,2024-2025
Elliana Padilla,R242,2005-06-16,2024-2025
Weston Oconnor,R243,2004-07-06,2024-2025
Marley Mckee,R244,2005-03-30,2024-2025
Angelo Howell,R245,2004-10-28,2024-2025
Alexa Leach,R246,2005-04-29,2024-2025
Emmett Mckenzie,R247,2004-09-14,2024-2025
Maeve Bauer,R248,2005-02-06,2024-2025
Atticus Lowery,R249,2004-11-21,2024-2025
Dahlia Combs,R250,2005-05-25,2024-2025
Grant Phelps,R251,2004-08-12,2024-2025
Lilith Spence,R252,2005-01-12,2024-2025
Phoenix Dodson,R253,2004-12-12,2024-2025
Norah Parrish,R254,2005-06-18,2024-2025
Archer Sims,R255,2004-07-22,2024-2025
Hallie Ratliff,R256,2005-03-01,2024-2025
Cyrus Russo,R257,2004-10-16,2024-2025
Millie Brock,R258,2005-04-12,2024-2025
Kaiden Sandoval,R259,2004-09-28,2024-2025
Selena Beasley,R260,2005-02-21,2024-2025
Holden Deleon,R261,2004-11-19,2024-2025
Oakley Finch,R262,2005-05-07,2024-2025
Zachariah Haynes,R263,2004-08-15,2024-2025
Cecilia Shields,R264,2005-01-30,2024-2025
Malakai Roach,R265,2004-12-02,2024-2025
Nylah Pacheco,R266,2005-06-12,2024-2025
Kyler Petty,R267,2004-07-04,2024-2025
Kaia Hester,R268,2005-03-21,2024-2025
Zion Mosley,R269,2004-10-23,2024-2025
Sutton Gallegos,R270,2005-04-15,2024-2025
Tate Villarreal,R271,2004-09-11,2024-2025
Anaya Mcmahon,R272,2005-02-28,2024-2025
Philip Bright,R273,2004-11-30,2024-2025
Emberly Saunders,R274,2005-05-22,2024-2025
Mohammed Horne,R275,2004-08-20,2024-2025
Paislee Reilly,R276,2005-01-14,2024-2025
Alec Downs,R277,2004-12-29,2024-2025
Skye Randall,R278,2005-06-27,2024-2025
Dexter Randolph,R279,2004-07-25,2024-2025
Bonnie Daugherty,R280,2005-03-13,2024-2025
Hayes Farley,R281,2004-10-08,2024-2025
Felicity Tanner,R282,2005-04-24,2024-2025
Elliott Goodwin,R283,2004-09-03,2024-2025
Maddison Donovan,R284,2005-02-04,2024-2025
Jett Merritt,R285,2004-11-16,2024-2025
Eloise House,R286,2005-05-11,2024-2025
Andre Velez,R287,2004-08-10,2024-2025
Harlow Whitfield,R288,2005-01-27,2024-2025
Brantley Riggs,R289,2004-12-26,2024-2025
Elsie Mcdowell,R290,2005-06-22,2024-2025
Titus Hendrix,R291,2004-07-18,2024-2025
Magnolia Cantu,R292,2005-03-27,2024-2025
Kendrick Rosario,R293,2004-10-31,2024-2025
Hadley Cantrell,R294,2005-04-18,2024-2025
Mario Vance,R295,2004-09-23,2024-2025
Demi Barr,R296,2005-02-25,2024-2025
Desmond Nicholson,R297,2004-11-26,2024-2025
Brianna Ortiz,R298,2005-05-09,2024-2025
Kyrie Caldwell,R299,2004-08-30,2024-2025
Londyn Goff,R300,2005-01-02,2024-2025
Crew Kaufman,R301,2004-12-14,2024-2025
Paige Dalton,R302,2005-06-01,2024-2025
Enzo Pickett,R303,2004-07-30,2024-2025
Lana Boone,R304,2005-03-06,2024-2025
Colt Gross,R305,2004-10-17,2024-2025
Margot Mcpherson,R306,2005-04-25,2024-2025
Donovan Wiley,R307,2004-09-09,2024-2025
Lyra Rocha,R308,2005-02-15,2024-2025
Lucian Blankenship,R309,2004-11-13,2024-2025
Angelina Choi,R310,2005-05-31,2024-2025
Mustafa Hubbard,R311,2004-08-04,2024-2025
Sunny Hendricks,R312,2005-01-11,2024-2025
Kason Cardenas,R313,2004-12-15,2024-2025
Serenity Skinner,R314,2005-06-29,2024-2025
Leonel Macias,R315,2004-07-09,2024-2025
Amira Doyle,R316,2005-03-28,2024-2025
Nico Kramer,R317,2004-10-03,2024-2025
Elaina Valenzuela,R318,2005-04-20,2024-2025
Cullen Everett,R319,2004-09-12,2024-2025
Raelynn Hutchinson,R320,2005-02-02,2024-2025
Zane Weber,R321,2004-11-18,2024-2025
Aviana Holden,R322,2005-05-16,2024-2025
Finley Zuniga,R323,2004-08-01,2024-2025
Zara Dyer,R324,2005-01-23,2024-2025
Ronan Molina,R325,2004-12-09,2024-2025
Amiyah Harrington,R326,2005-06-10,2024-2025
Allen Waller,R327,2004-07-13,2024-2025
Esme Britt,R328,2005-03-08,2024-2025
Zavier Fowler,R329,2004-10-11,2024-2025
Reign Ellison,R330,2005-04-04,2024-2025
Odin Hahn,R331,2004-09-02,2024-2025
Saylor Dillon,R332,2005-02-07,2024-2025
Bowen Dickson,R333,2004-11-29,2024-2025
Ophelia Gilmore,R334,2005-05-23,2024-2025
Callum Marks,R335,2004-08-27,2024-2025
Kira Beasley,R336,2005-01-05,2024-2025
Ares Olsen,R337,2004-12-23,2024-2025
Wren Carney,R338,2005-06-24,2024-2025
Soren Patel,R339,2004-07-24,2024-2025
Kinslee Delacruz,R340,2005-03-05,2024-2025
Rory Gaines,R341,2004-10-20,2024-2025
Austyn Kline,R342,2005-04-01,2024-2025
Julien Summers,R343,2004-09-20,2024-2025
Azalea Compton,R344,2005-02-29,2024-2025
Kaleb Cowan,R345,2004-11-06,2024-2025
Ivanna Curry,R346,2005-05-04,2024-2025
Adriel Whitehead,R347,2004-08-29,2024-2025
Charlee Osborn,R348,2005-01-17,2024-2025
Zayden Bradshaw,R349,2004-12-27,2024-2025
Laurel Ballard,R350,2005-06-15,2024-2025
Colson Morales,R351,2004-07-16,2024-2025
Jolie Guzman,R352,2005-03-18,2024-2025
Dallas Huffman,R353,2004-10-06,2024-2025
Kehlani Robles,R354,2005-04-13,2024-2025
Matthias Dudley,R355,2004-09-05,2024-2025
Liliana Hensley,R356,2005-02-08,2024-2025
Ford Decker,R357,2004-11-23,2024-2025
Octavia Shelton,R358,2005-05-05,2024-2025
Amari Fuentes,R359,2004-08-08,2024-2025
Mariana Wilkerson,R360,2005-01-06,2024-2025
Baylor Ramsey,R361,2004-12-08,2024-2025
Yasmin Hardin,R362,2005-06-06,2024-2025
Marcelo Trevino,R363,2004-07-20,2024-2025
Reese Rowland,R364,2005-03-11,2024-2025
Princeton Sloan,R365,2004-10-24,2024-2025
Poppy Chaney,R366,2005-04-23,2024-2025
Cannon Mcguire,R367,2004-09-30,2024-2025
Nellie Duffy,R368,2005-02-12,2024-2025
